customer_id,clv,value_decile,churn_probability,decision,net_value,value_at_risk,expected_value_saved,intervention_cost,churn_value,data_split,predicted_churn,outcome_class,churn_reason,contract,tenure_band,spend_band,city,latitude,longitude
3668-QPYBK,193.86,8,0.5511,Do not intervene,-27.95,106.84,32.05,60.00,1,test,1,Caught,Competitor made better offer,Month-to-month,New,Medium,Los Angeles,33.964131,-118.272783
9237-HQITU,254.52,7,0.8387,Intervene,4.04,213.46,64.04,60.00,1,test,1,Caught,Moved,Month-to-month,New,High,Los Angeles,34.059281,-118.30742
9305-CDSKC,358.74,4,0.8938,Intervene,36.19,320.64,96.19,60.00,1,train,1,Caught,Moved,Month-to-month,New,High,Los Angeles,34.048013,-118.293953
7892-POOKP,377.28,4,0.8089,Intervene,31.55,305.18,91.55,60.00,1,train,1,Caught,Moved,Month-to-month,Established,High,Los Angeles,34.062125,-118.315709
0280-XJGEX,373.32,4,0.5914,Intervene,6.24,220.79,66.24,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,Loyal,High,Los Angeles,34.039224,-118.266293
4190-MFLUW,198.72,8,0.4233,Do not intervene,-34.77,84.11,25.23,60.00,1,train,0,Missed,Competitor offered higher download speeds,Month-to-month,New,Medium,Los Angeles,34.066367,-118.309868
8779-QRDMV,142.74,9,0.7792,Do not intervene,-26.63,111.22,33.37,60.00,1,train,1,Caught,Competitor offered more data,Month-to-month,New,Medium,Los Angeles,34.02381,-118.156582
1066-JKSGK,72.54,10,0.4072,Do not intervene,-51.14,29.54,8.86,60.00,1,train,0,Missed,Competitor made better offer,Month-to-month,New,Low,Los Angeles,34.066303,-118.435479
6467-CHFZW,357.66,4,0.7172,Intervene,16.96,256.52,76.96,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,Loyal,High,Los Angeles,34.099869,-118.326843
8665-UTDHZ,108.72,10,0.7414,Do not intervene,-35.82,80.61,24.18,60.00,1,train,1,Caught,Competitor had better devices,Month-to-month,New,Low,Los Angeles,34.089953,-118.294824
8773-HHUOZ,232.92,7,0.6187,Do not intervene,-16.77,144.11,43.23,60.00,1,test,1,Caught,Competitor offered higher download speeds,Month-to-month,Established,Medium,Los Angeles,34.078821,-118.177576
6047-YHPVI,250.92,7,0.8161,Intervene,1.43,204.78,61.43,60.00,1,train,1,Caught,Competitor offered higher download speeds,Month-to-month,New,Medium,Los Angeles,34.110845,-118.259595
5380-WJKOV,382.86,3,0.7967,Intervene,31.51,305.04,91.51,60.00,1,train,1,Caught,Competitor offered higher download speeds,Month-to-month,Established,High,Los Angeles,34.137412,-118.207607
8168-UQWWF,352.26,4,0.8255,Intervene,27.24,290.79,87.24,60.00,1,train,1,Caught,Competitor offered more data,Month-to-month,New,High,Los Angeles,34.11572,-118.192754
7760-OYPDY,290.34,5,0.8687,Intervene,15.67,252.22,75.67,60.00,1,train,1,Caught,Competitor offered more data,Month-to-month,New,High,Los Angeles,33.987945,-118.370442
9420-LOJKX,356.76,4,0.7479,Intervene,20.04,266.81,80.04,60.00,1,train,1,Caught,Competitor offered more data,Month-to-month,Established,High,Los Angeles,33.92128,-118.274186
7495-OOKFY,290.34,5,0.7932,Intervene,9.09,230.31,69.09,60.00,1,train,1,Caught,Competitor made better offer,Month-to-month,New,High,Los Angeles,34.044271,-118.185237
1658-BYGOY,343.62,4,0.8781,Intervene,30.52,301.73,90.52,60.00,1,test,1,Caught,Competitor made better offer,Month-to-month,Established,High,Los Angeles,34.108833,-118.229715
5698-BQJOH,339.84,4,0.8981,Intervene,31.56,305.2,91.56,60.00,1,test,1,Caught,Price too high,Month-to-month,New,High,Beverly Hills,34.063947,-118.383001
5919-TMRGD,285.66,6,0.862,Intervene,13.87,246.25,73.87,60.00,1,train,1,Caught,Product dissatisfaction,Month-to-month,New,High,Huntington Park,33.97803,-118.217141
9191-MYQKX,270.54,6,0.7317,Do not intervene,-0.61,197.97,59.39,60.00,1,train,1,Caught,Service dissatisfaction,Month-to-month,New,High,Lynwood,33.923573,-118.200669
8637-XJIVR,284.22,6,0.8135,Intervene,9.36,231.2,69.36,60.00,1,test,1,Caught,Lack of self-service on Website,Month-to-month,New,High,Marina Del Rey,33.977468,-118.445475
